year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description
2012;;street_length;Street length;km;;;;Cavite City;;63,72;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Dasmariñas City;;29,22;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Tagaytay City;;29,83;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Trece Martires City;;41,58;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Laguna;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Binañ City;;63,74;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Calamba City;;3,56;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;San Pablo City;;155,95;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Sta. Rosa City;;59,49;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Quezon;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Lucena City;;30,09;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Tayabas City;;7,29;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Rizal;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Antipolo City;;36,02;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;589,82;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Oriental Mindoro;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Calapan City;;48,67;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Palawan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Puerto Princesa;;209,95;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;258,62;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Albay;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Legazpi City;;38,44;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Ligao City;;12,05;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Tabaco City;;24,31;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Camarines Sur;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Iriga City;;232,99;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Naga City;;122,63;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Masbate;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Masbate City;;60,19;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Sorsogon;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Sorsogon City;;24,28;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;514,89;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Capiz;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Roxas City;;38,91;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Iloilo;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Iloilo City;;126,76;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Passi City;;12,17;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Negros Occ.;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Bacolod City;;296,20;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Bago City;;9,20;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Cadiz City;;108,48;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Escalante City;;47,70;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Himamaylan City;;109,93;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Kabankalan City;;439,09;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;La Carlota City;;15,90;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Sagay City;;63,12;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;San Carlos City;;171,64;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Silay City;;29,46;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Sipalay City;;218,17;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Talisay City;;58,20;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Victorias City;;75,07;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;1819,99;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Bohol;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Tagbilaran City;;74,40;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Cebu;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Bogo City;;116,32;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Carcar City;;52,86;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Cebu City;;87,23;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Danao City;;10,98;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Lapu-Lapu City;;96,30;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Mandaue City;;125,61;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Naga City;;96,46;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Talisay City;;53,96;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Toledo City;;12,07;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Negros Oriental;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Bais City;;13,67;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Bayawan City;;17,42;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Canlaon City;;100,19;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Dumaguete City;;106,62;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Guihulngan City;;7,57;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Tanjay City;;12,50;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;984,14;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Eastern Samar;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Borongan City;;70,53;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Leyte;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Baybay City;;193,12;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Ormoc City;;42,87;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Tacloban City;;110,10;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Southern Leyte;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Maasin City;;9,30;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Western Samar;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Calbayog City;;205,93;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Catbalogan City;;37,64;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;669,49;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Zamboanga del Norte;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Dapitan City;;17,11;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Dipolog City;;30,59;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Isabela City;;35,26;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Zamboanga del Sur;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Pagadian City;;154,03;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Zamboanga City;;16,79;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;253,77;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Bukidnon;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Malaybalay City;;257,03;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Valencia City;;49,85;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Lanao del Norte;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Iligan City;;66,97;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Misamis Occidental;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Oroquieta City;;30,48;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Ozamis City;;28,18;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Tangub City;;32,54;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Misamis Oriental;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Cagayan de Oro City;;165,18;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;El Salvador City;;50,84;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Gingoog City;;42,96;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;724,04;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
