"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2005;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"SL";;;"54.5";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"SO";;;02/12/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"TG";;;07/19/14;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"TZ";;;06/17/14;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"UA";;;09/19/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"UA";;;02/02/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"UG";;;"43.7";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"YE";;;"0.7";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"ZM";;;07/28/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"ZW";;;04/01/14;"Urban numbers 1.0 data";"Slum dwellers"
